time,precip,v925,v850,v700,v500s,v500u,u925s,u925u,u850s,u850u,u700s,u700u,u700,u500s,u500u,sh925s,sh925u,sh850s,sh850u,sh700s,sh700u,sh500s,sh500u,rh925s,rh925u,rh850s,rh850u,rh700s,rh700u,rh500s,rh500u,z925s,z925u,z850s,z850u,z700u,z500u,z500uu,t925s,t925u,t850s,t850u,t700s,t700u,t500s,t500u,vo925s,vo925u,vo850s,vo850u,vo700s,vo700u,vo500s,vo500u,vv925s,vv925u,vv850s,vv850u,vv700s,vv700u,vv500s,vv500u,topnetolr,t2mu,t2ms,d2ms,d2mu,vimd,v10,u10,u10u,mslps,mslpu,windwaveperiodes,windwaveperiodeu,windwavedirections,windwavedirectionu,waveperiodes,waveperiodeu,firstswells,firstswellu,secondswellu,secondswells,ssts,sstu,skts,sktu,sps,spu,tcwv,tclw,runoff,lowcloudcover,highcloudcover,mediumcloudcover,totalcloudcover,surfacethermalradiation,vitef,surfacesolarradiation,cens_,t2m_,st_,sst_,mslp_,sp_,u10_,v10_,v925_,v850_,v700_,u925_,u850_,u700_,vv925_,vv850_,vv700_,vo925_,vo850_,vo700_,sh925_,sh850_,sh700_,rh925_,rh850_,rh700_,z925_,z850_,t925_,t850_,t700_,mslpshan_,spshan_,t2mshan_,sktshan_,mslpsib_,spsib_,t2msib_,sktsib_,z925sib_,z850sib_,t2mct_,sstct_,stct_,mslpct_,spct_,v925ct_,v850ct_,v700ct_,u925ct_,u850ct_,u700ct_,vv925ct_,vv850ct_,vv700ct_,vo925ct_,vo850ct_,vo700ct_,sh925ct_,sh850ct_,sh700ct_,rh925ct_,rh850ct_,rh700ct_,div925ct_,div850ct_,div700ct_
1/1/2018,0.548293029,1.3849506,2.4953284,3.151703,3.1830368,5.9120817,5.4351244,-8.847977,3.9464507,-7.979107,-0.95540047,25.623905,25.623905,0.26688638,-6.5799966,0.015007995,0.012685197,0.011966688,0.006304421,0.007219973,0.001060465,0.003981093,0.000974311,82.74829,62.920364,78.37805,64.049355,69.12694,55.46922,63.232105,60.312874,7238.681,7714.7354,14499.32,14778.612,30761.412,57469.14,55785.285,296.21814,286.85477,292.5896,283.53622,284.96085,275.3305,268.60828,258.43872,1.76E-05,-1.52E-05,2.22E-06,7.26E-06,-8.51E-06,-9.25E-06,-2.44E-06,-1.62E-05,-0.048948683,-0.006493648,-0.05955283,0.042762436,0.017173449,0.021710396,-0.00544544,0.006148696,-259.39502,301.02032,300.741,296.36694,258.83606,-0.04065005,0.20366353,1.993398,-3.9035034,100510.914,101458.53,2.9588242,3.7689362,238.95926,33.721714,0.5181826,5.7185283,0.076703385,1.0315069,0.089709595,0.092567444,302.0762,222.27655,302.12347,295.5177,100268.164,101210.99,47.9698,0.045455933,0.02793968,8.918539,70.44503,13.918687,71.29892,-181250.62,148.40509,925459.3,0.745060676,298.9376163,299.5721604,300.03081,100833.4384,100254.645,-3.934839775,-4.667433346,-5.672558429,-1.662300933,1.044209763,-6.470799867,-5.401306788,-1.792813525,-0.036303655,-0.056263212,-0.079043454,1.13E-05,1.07E-05,5.34E-06,0.015097042,0.012948632,0.008489742,89.70681267,87.69139354,90.67404125,7396.677458,14553.92577,294.1318483,290.6894396,282.9845496,102380.2875,100077.9892,276.5960113,279.0784417,104211.6921,91551.01792,252.1836271,251.8567013,8914.408313,15196.44258,298.9407304,299.6886742,299.5529342,101064.4282,101058.5317,-7.376546242,-3.902347988,-0.785012378,-7.817997363,-8.146869142,-4.766942688,-0.006002688,-0.002972802,0.008976812,1.19E-05,4.50E-06,-8.34E-06,0.013412427,0.011133624,0.005947619,86.88642433,82.76537363,52.94786688,4.08E-07,-1.84E-07,6.21E-07
1/2/2018,11.44295341,0.77186525,2.391636,1.3266304,0.3731308,11.490075,3.603485,-7.3174744,1.9576733,-6.411406,-0.8196392,21.25037,21.25037,-0.61845076,-8.970481,0.015102198,0.012293562,0.012586928,0.005718334,0.008280351,0.001324379,0.004010245,0.001218777,86.71031,62.387383,81.39849,66.24139,79.04333,66.6934,68.77891,60.160583,7296.6597,7650.32,14540.41,14757.117,30801.758,57476.293,55587.92,296.78998,285.3053,292.44678,281.7947,284.789,274.21588,268.43326,256.60577,8.07E-06,-7.36E-06,5.48E-06,-3.23E-06,-1.98E-07,-6.56E-06,-5.88E-07,-1.71E-05,-0.03733126,-0.040779747,-0.03843538,0.021330755,0.025806982,0.014042458,-0.004351299,-0.014546711,-223.49763,300.89267,301.00983,296.39355,256.61243,-0.058809917,0.10876401,1.0685984,-3.263575,100597.91,101375.766,3.161372,2.8923821,155.44806,53.82357,0.48470643,6.0861664,0.066533305,1.0356876,0.080052696,0.13464928,302.19608,222.23334,302.14252,295.47556,100337.12,101121.66,53.54777,0.04026826,0.03315757,10.583878,89.86749,18.831064,88.061806,-164698.56,47.032066,770545.3,0.769711328,298.8986042,299.4874429,300.10493,100819.2148,100239.9411,-3.478703296,-3.945351388,-4.363301429,-1.052485193,-0.544996199,-4.951332654,-3.332906533,-3.059941338,-0.020334237,-0.031157024,-0.03480921,1.09E-05,1.13E-05,6.54E-06,0.015274949,0.01297147,0.008418091,89.959426,86.06447717,93.38039063,7387.507654,14551.50413,294.2911588,291.0261821,283.1625271,102529.3351,100215.6598,276.6885508,279.1058846,104639.3482,91885.42396,251.5767546,250.7876292,9215.7805,15496.53417,299.1050829,299.7477733,299.5735846,100973.2636,100967.3537,-7.096066471,-3.679742221,0.236107232,-8.579223633,-9.116851146,-7.99614205,-0.024348293,-0.033758626,-0.047865927,1.28E-05,7.87E-07,-1.23E-05,0.013788405,0.012196836,0.007639254,83.43181125,83.85545217,69.78394429,1.63E-07,-3.55E-06,-1.25E-07
1/3/2018,16.92489273,0.51562434,0.97230655,1.4407566,1.1407273,12.938642,3.9840608,-4.3777556,2.8144288,-3.9164264,-1.724444,19.406435,19.406435,-0.7673441,-5.5846252,0.015417705,0.013103663,0.012897515,0.005484742,0.008682236,0.001181046,0.003977324,0.000824962,86.07501,64.02964,84.229546,71.510994,81.76531,65.550545,79.46185,62.19606,7369.799,7592.234,14608.645,14716.522,30807.543,57505.797,55803.7,296.9796,284.27124,292.04227,282.03384,283.69415,275.73242,267.9696,258.0791,1.04E-05,-8.24E-06,4.58E-06,-5.69E-06,6.42E-06,-1.84E-05,-7.88E-07,-2.23E-06,-0.002925952,0.011821667,-0.014303764,0.021696808,-0.037041742,-0.022912104,-0.072077475,-0.06259922,-207.77888,300.52448,300.692,296.84454,255.39508,-0.35681468,0.1098105,0.7630501,-1.4700228,100691.445,101318.33,3.1000214,2.4105937,143.12263,74.91197,0.46127746,5.809084,0.052584328,1.0800718,0.077264786,0.077604294,302.40445,222.39429,302.43475,295.56262,100412.96,101087.766,55.52782,0.049219135,0.050139923,13.993486,89.574715,31.439304,95.16004,-151791.72,-200.41016,827160,0.450710584,299.3434513,299.7952213,300.3942867,100813.2535,100235.4847,-2.001481988,-2.801277854,-3.334938679,-0.723291203,0.797858048,-3.172064175,-1.3432949,-1.521978988,-0.003184799,-0.014224799,-0.040144625,8.93E-06,9.88E-06,6.73E-06,0.015174813,0.013122659,0.00870967,86.63347929,86.08516446,93.37682275,7394.169554,14567.15544,294.8244983,291.2055279,283.1683429,102667.8224,100347.3596,275.8138358,278.521435,104247.6851,91553.09275,251.8048121,251.1829742,8957.989042,15258.22031,299.0115983,299.7608067,299.6224071,100933.9711,100928.0667,-2.484510049,1.270645239,4.904542729,-9.511149354,-9.393812542,-6.740350733,-0.056534373,-0.097127092,-0.111897833,1.99E-05,1.58E-05,1.11E-05,0.014393801,0.013109553,0.008955572,86.11517104,88.19114983,80.27758242,-4.87E-06,-5.48E-06,-2.36E-07
1/4/2018,10.93156235,1.2150192,2.4106705,2.257869,2.0367684,8.047267,4.8176947,-2.826999,2.2815323,-3.0601425,-2.4224644,21.034342,21.034342,-1.9853268,-5.716386,0.015799226,0.014094693,0.013275982,0.004260203,0.009054519,0.001127139,0.004395023,0.000344072,88.19131,66.1638,85.726395,76.61503,85.12066,71.813614,88.99711,46.053055,7416.6235,7589.9478,14644.776,14742.784,30846.908,57571.473,55954.945,295.86868,284.08746,291.81488,282.21307,283.65186,276.0878,268.33188,259.13257,5.01E-06,-1.25E-05,5.79E-07,2.35E-05,-1.88E-06,-5.58E-06,9.32E-06,-1.06E-05,-0.018651485,-0.006134192,-0.055764556,0.004113474,-0.046261035,-0.054172717,-0.07692977,-0.10511784,-187.41072,300.63632,300.32983,296.71228,257.5509,-0.14345677,1.1122494,0.426377,-1.7814579,100761,101214.64,3.7110343,2.2637024,142.78871,83.03032,0.5400196,5.49478,0.05536779,1.2707608,0.09522692,0.08398946,302.56284,222.46436,302.62823,295.66684,100484.31,101045.33,56.47487,0.04244868,0.06892035,11.494287,90.31576,37.256145,95.76921,-137885.03,-441.91052,739923.4,0.893966816,299.4446333,299.9123192,300.3531792,100864.9452,100285.7435,-1.800004508,-1.060602818,-0.58568716,0.95061278,1.739899813,-1.945272958,-0.470987506,-2.153536893,0.010753307,0.017064698,-0.001527017,7.36E-06,8.98E-06,5.53E-06,0.015219868,0.012643853,0.008413246,86.37045504,81.63514488,89.93782267,7441.883063,14618.52848,294.9028121,291.46609,283.3212854,102272.1181,99971.98033,275.7350546,278.3414904,103714.0214,91104.01446,252.1244925,251.4689858,8592.412917,14908.75044,299.2940546,299.7329292,299.6366608,100976.1121,100970.1973,2.791615017,5.880465904,6.711438104,-7.080637433,-6.220226454,-4.105439096,-0.048801295,-0.06212385,-0.051928622,5.56E-06,1.20E-06,-6.79E-06,0.015503856,0.013217339,0.008301706,89.38075979,85.73962779,73.8205835,-3.39E-06,-4.42E-08,2.61E-06
1/5/2018,4.713392238,1.3955249,1.6270835,1.8865992,-0.3254185,7.996705,5.83474,-3.3222828,2.4144864,-3.329349,-2.6440773,29.016365,29.016365,-4.1447687,-6.6271496,0.015182246,0.013968587,0.012427919,0.004012319,0.009085517,0.001276038,0.00479911,0.000519845,84.37416,75.09772,83.34957,88.03683,85.86713,70.10065,91.96675,41.7463,7456.187,7602.941,14651.627,14754.591,30831.059,57512.906,55587.008,294.903,285.8783,291.9194,281.68982,283.51392,275.52826,268.33694,257.79803,-9.25E-06,-2.85E-05,9.23E-07,1.75E-05,6.21E-06,-1.50E-05,9.98E-07,-2.19E-05,-0.050440747,0.021946946,-0.080951735,0.04306662,-0.05099658,-0.1400723,-0.27681196,-0.27022523,-151.1096,300.33865,300.15158,296.40405,258.52167,-0.2735939,1.3303274,0.27860832,-2.1416593,100838.51,101188.43,3.1570992,3.1167603,142.5653,59.442673,0.5192792,5.0000668,0.061935425,1.3586235,0.11505699,0.08126895,302.55862,222.53438,302.5565,295.75034,100484.33,101052.13,56.83806,0.11282444,0.14686584,6.277974,97.77298,74.222824,99.76133,-114395.89,-1117.0947,602294.6,1.743506538,299.3030075,300.0999554,300.435575,100883.4775,100304.5986,-1.099374949,-0.285598759,0.619424681,1.131274763,1.926397475,-0.836082034,-0.491750895,-4.002596996,-0.012776708,-0.02436123,-0.066794058,4.79E-06,5.38E-06,9.75E-07,0.015225067,0.012625548,0.008503438,86.82209462,82.99683163,86.15231246,7456.181825,14628.2559,294.8270492,291.1752108,282.7785658,101904.5514,99617.93904,276.2597454,278.4095738,103484.3835,90915.57671,253.1993258,252.3100117,8435.854875,14759.07823,299.3507658,299.8815942,299.7268629,101008.2169,101002.3153,0.92532803,2.238643446,3.510882488,-5.432024988,-4.536689483,-4.309408708,-0.019925923,-0.01509818,-0.007883249,-2.75E-06,-5.34E-06,-1.41E-05,0.015338683,0.012784064,0.007352057,87.69210167,83.8673945,67.42434754,-6.26E-07,1.41E-06,3.09E-07
1/6/2018,2.795054716,2.2502804,1.6241964,0.9349251,-0.008418404,7.2355595,6.453586,-5.8103294,2.6990135,-4.5652485,-2.2999394,24.549877,24.549877,-7.7453346,-8.330051,0.014801877,0.013710391,0.011729782,0.004555276,0.008078345,0.001084218,0.004676863,0.000501082,76.276855,81.10888,75.770996,87.88676,81.22719,70.7693,92.74228,58.619514,7570.7505,7621.462,14762.25,14785.56,30876.68,57563.11,55586.715,294.8931,286.45285,291.96518,281.9391,283.41086,276.14893,268.17868,259.8838,-2.30E-06,-3.03E-05,1.12E-05,5.43E-06,2.76E-05,-4.09E-05,-1.58E-06,-1.65E-05,-0.057864863,-0.019413987,-0.057012875,0.044631004,0.025677681,-0.0676705,0.019992193,-0.050625484,-165.32845,300.96707,300.3735,296.155,256.71497,0.114775345,0.7193139,-0.29450732,-3.0226464,100984.02,101151.55,2.9175289,3.884959,134.56766,65.51867,0.52787524,4.949949,0.06286082,1.2052988,0.10706711,0.10045878,302.7247,222.63492,302.4247,295.88983,100553.336,101058.99,53.327843,0.051533066,0.04733354,2.970632,98.86243,45.54227,99.4003,-120271.19,-372.60614,545068,1.74809507,298.9431108,299.7923096,300.4021808,100984.1809,100402.8073,-2.3224018,-0.097007558,0.3558782,0.737470545,0.556456845,-1.86389111,-1.254401948,-4.017612792,0.010187451,0.00714431,-0.06333853,4.49E-06,6.44E-06,4.78E-06,0.014743736,0.012021909,0.008263227,86.15817233,80.37696075,89.31749708,7530.447358,14692.34121,294.4331646,290.9374579,282.2855321,101995.4191,99726.39383,276.7127804,278.9711233,103185.7338,90663.09329,254.4807729,253.8263917,8228.168179,14540.70788,299.4520933,299.9467225,299.8186375,101044.602,101038.6948,0.851647906,2.975756671,3.947303979,-5.236946717,-6.207406267,-6.590391325,-0.005947609,-0.000387263,0.01350105,-6.48E-06,-1.01E-05,-1.36E-05,0.014795895,0.01197394,0.006598209,84.01758229,77.10997579,59.58729446,-2.32E-07,1.18E-06,4.43E-07
1/7/2018,7.199882934,-0.1554063,0.40966415,2.1865933,0.49299815,4.4874644,3.103531,-4.154424,0.9915262,-2.786021,-1.6439121,24.101776,24.101776,-7.636632,-7.09112,0.015055331,0.013311437,0.011963715,0.004089897,0.008012522,0.000961703,0.004648642,0.000448555,82.98524,80.44052,76.406,84.137924,78.792114,71.02177,93.964386,54.512848,7593.68,7692.6035,14799.183,14859.548,30969.154,57641.58,55895.39,294.9591,285.14566,292.1315,281.3665,283.78473,276.96967,268.34198,261.4518,-7.77E-06,-1.02E-05,1.34E-05,-4.45E-06,1.56E-05,-3.75E-06,8.21E-07,-2.16E-05,-0.06903255,-0.018920144,-0.107309744,0.058265924,-0.04538397,-0.11128668,0.08233106,0.047251105,-154.29742,300.73364,299.97144,296.19296,256.80365,-0.0250473,-0.69029427,-0.36231932,-2.4086044,100986.13,101196.21,2.736262,4.123723,79.723625,64.91136,0.54477215,5.0520873,0.05535274,1.106967,0.11086527,0.06753285,302.5857,222.77002,302.4657,296.01056,100621,101155.63,53.48123,0.03687064,0.036202367,8.650494,95.108925,67.10116,99.01086,-131303.62,-362.2054,555969.3,0.315919494,299.3630033,300.0168279,300.5454825,101031.8501,100451.5681,-2.421588238,-0.614735257,-0.080177551,1.047834874,2.531107283,-2.596355275,-1.722008438,-4.451275454,0.017775554,0.022818333,0.011952164,3.22E-06,4.28E-06,6.52E-06,0.014379939,0.01161406,0.007921658,81.78494092,75.67868788,83.13027521,7581.754737,14752.98515,294.8962683,291.3469938,282.2268021,101797.8428,99542.42921,278.4156063,279.6549008,103126.8778,90627.23092,255.0407283,253.9805092,8199.752588,14509.81627,299.4344013,300.0845075,299.9164217,101147.5801,101141.6491,1.247824947,2.858204683,5.628054833,-4.518004292,-3.554061654,-4.244636996,0.017664966,0.02820489,0.005193017,-5.86E-06,-7.68E-06,-1.40E-05,0.014387036,0.011793869,0.006995349,81.78778292,76.32246296,64.50798733,2.28E-06,2.20E-07,-1.36E-06
1/8/2018,0.473320993,-1.4857336,-3.1042495,-0.32623863,-0.2676716,2.4864788,2.1206362,-4.801951,2.1973426,-5.2474613,-4.2648687,25.032213,25.032213,-6.4238462,-6.23598,0.015667878,0.012715721,0.012384782,0.003442051,0.008057687,0.001270379,0.004131225,0.000479694,83.71868,73.904465,81.19767,82.62158,78.058876,69.92985,82.78679,41.64592,7556.1133,7772.2646,14762.114,14937.581,31060.18,57738.79,56454.1,295.00275,287.64383,291.72614,282.8835,283.70944,278.29092,268.49963,263.63474,1.27E-05,-2.13E-05,5.45E-06,-2.36E-05,7.46E-06,5.97E-06,4.08E-06,-2.12E-05,0.003838817,0.010143241,0.005517364,0.013291716,-0.03625675,0.00166134,-0.022554478,-0.02734065,-210.10771,300.39203,299.96295,296.34888,256.99744,-0.23941994,-0.7083842,0.6561038,-2.6575253,100941.94,101394.5,2.746193,5.6114073,128.56033,56.747604,0.512156,4.8320374,0.04785585,1.1317937,0.1293551,0.0777003,302.55768,222.89163,302.4655,296.15396,100634.23,101254.19,53.97001,0.04741065,0.09624412,14.19824,67.61841,33.004665,78.36707,-148475.23,9.195969,690552.7,-1.887124508,299.7022458,300.0655317,300.4742392,101059.6078,100480.2189,-2.510841613,-2.071141798,-2.208228906,-1.94961124,0.066839613,-3.534760642,-2.867980554,-6.738295042,0.011359538,0.014735219,-0.003248776,4.69E-06,3.84E-06,-1.01E-06,0.014642307,0.011644672,0.007525493,82.32320942,74.84252271,95.372957,7613.323621,14789.67802,295.0728954,291.547075,282.5550588,101260.8939,98998.435,277.9052879,279.1643129,103197.2729,90713.75742,253.8803358,252.9654654,8253.296896,14569.08906,299.8073604,300.0963492,300.0653846,101202.2643,101196.3446,-0.169378624,-0.588840091,0.293560444,-3.654241954,-3.127238692,-3.24003035,0.00429551,0.009611047,0.015824975,-8.24E-06,-8.72E-06,-1.31E-05,0.013848709,0.010634519,0.0072312,77.42722729,66.10882242,66.43153596,8.22E-07,7.39E-07,-5.20E-07
1/9/2018,3.02183645,-2.1987455,-4.994808,-4.854898,-2.6490257,-3.3695455,3.6277983,-8.39216,3.9825814,-7.5026684,-5.9587073,29.004795,29.004795,-4.5853004,-8.332411,0.015161603,0.013412797,0.012276813,0.003538762,0.008340886,0.000882825,0.003826604,0.000532483,85.00402,72.33504,80.35312,81.30937,82.31639,72.69464,79.25815,42.859097,7470.258,7919.7393,14678.62,15004.516,31052.396,57718.14,56927.945,294.98157,289.8687,291.57385,284.8219,283.8639,279.72577,268.211,265.91708,1.53E-05,-2.92E-05,8.84E-06,-2.80E-05,7.40E-06,1.14E-05,8.64E-06,-2.50E-05,0.014416297,0.047683,-0.006447475,0.022801083,-0.036262114,-0.019980988,-0.07415811,-0.052144766,-222.63829,299.6502,299.56714,296.554,254.79057,-0.20847258,-1.3741157,0.96775055,-2.9530663,100838.01,101771.875,3.456327,5.20533,231.55014,53.39333,0.43342605,4.9050913,0.061105095,1.1759236,0.09411494,0.030174255,302.61935,222.71399,302.46365,295.7853,100552.46,101499.52,52.84805,0.07052899,0.05316734,21.549416,86.29576,24.808025,85.66525,-159895.73,-302.69775,780644.7,-2.391455533,299.2727754,300.0533713,300.4949083,101088.7405,100508.8763,-2.855248888,-4.135862329,-5.6051199,-5.000783621,-3.992667163,-4.936244221,-5.462098867,-8.246912396,-0.034519944,-0.061271117,-0.094283605,8.33E-06,8.11E-06,2.59E-06,0.014791596,0.011885634,0.007743758,84.79176979,78.60868783,86.51920542,7628.524725,14796.28444,294.7608383,291.1027408,282.2712542,101546.3942,99243.82721,274.7582896,277.7273008,103369.1824,90858.30413,252.9409829,251.8614604,8369.959833,14680.11267,299.0996958,300.0446325,299.9252738,101325.7452,101319.834,-8.192310204,-4.682265038,-1.952368775,-7.279772346,-6.048461288,-4.704571796,-0.047572966,-0.044795384,0.002206865,8.61E-06,-4.66E-07,-1.17E-05,0.013724095,0.011175817,0.006777625,84.43646308,77.54939463,63.19754004,-2.24E-06,2.41E-06,3.03E-06
1/10/2018,19.52197219,-1.4990519,-5.659587,-6.916898,-3.3616502,-9.057166,8.544823,-10.250832,6.9250317,-9.142513,-4.7772765,29.950645,29.950645,-1.1755097,-9.350416,0.01471112,0.012292299,0.011748487,0.003797567,0.008403274,0.000937846,0.004292874,0.000604048,83.75951,73.04531,81.01235,73.87111,82.80525,65.383446,85.44221,50.22965,7438.9453,7976.6753,14645.643,15027.458,30974.133,57642.81,57188.023,294.8424,288.55975,291.40387,285.5819,283.97388,280.7411,268.086,267.69678,3.99E-05,-5.41E-05,3.43E-05,-3.83E-05,2.09E-05,-8.30E-06,5.09E-06,-9.67E-06,0.09059588,-0.005451839,0.14733446,0.06020931,-0.03600244,-0.025509475,-0.05312399,-0.09290874,-193.39922,299.83966,299.70813,296.41962,256.0934,-0.16506639,-1.3785248,2.662974,-2.9662375,100813.7,101893.875,3.7113926,5.2374854,277.897,24.906725,0.49435726,5.090261,0.08679043,1.1412246,0.08431307,0.07687569,302.4285,222.61322,302.30328,295.60144,100487.35,101587.19,53.602245,0.09501711,0.10482967,15.546353,94.45903,50.17128,95.86077,-154959.4,-637.86786,793168,-2.626540296,298.9419254,299.9701921,300.4974358,101079.55,100499.2241,-3.646958775,-5.538686667,-8.008659746,-5.969715242,-2.716874871,-6.479312746,-7.617230942,-8.070694867,-0.054848129,-0.090126208,-0.130766198,1.41E-05,1.48E-05,1.34E-05,0.014925314,0.012150955,0.008066405,88.64318708,83.15912821,91.71971633,7605.296571,14759.38667,294.1632133,290.5410071,282.2898746,102218.1486,99871.18942,272.3859279,276.2404375,103242.9037,90795.49563,254.8281079,253.762355,8335.252833,14680.26371,298.6103588,299.9843175,299.8489117,101368.2793,101362.3719,-10.88357417,-6.641156671,-1.385043397,-8.441549396,-7.059004071,-4.561075733,-0.037806096,-0.033459948,0.015207843,8.87E-06,2.49E-06,-1.29E-05,0.013321513,0.010920318,0.006457769,86.48499837,80.43586033,62.41611404,-1.04E-06,1.88E-06,3.01E-06
